Time, Temp[C], CO2[ppm], TVOC[ppm], Rain[V], Noise[dBV], Wind[mV], Sun[V], Battery[V], Current[mA], Watt[mW]
2018-06-14_15:49, 25.0, 400, 0, 3.25, -26.872, 70.11, 4.946, 3.729, 91.771, 453.899
2018-06-14_15:50, 24.75, 426, 3, 3.26, -28.359, 60.44, 4.946, 3.71, 82.491, 408.0
2018-06-14_15:52, 24.3125, 427, 4, 3.26, -24.345, 77.36, 4.462, 3.719, 111.363, 496.902
2018-06-14_15:53, 24.75, 454, 8, 3.24, -23.562, 70.92, 4.355, 3.749, 130.954, 570.305
2018-06-14_15:55, 24.3125, 417, 2, 3.27, -21.434, 70.92, 4.946, 3.754, 140.235, 693.602
2018-06-14_15:56, 25.25, 414, 2, 3.26, -20.013, 74.14, 4.731, 3.749, 140.235, 663.452
2018-06-14_15:58, 25.4375, 414, 2, 3.21, -6.458, 74.14, 5.054, 3.749, 146.421, 740.012
2018-06-14_16:00, 25.0, 444, 6, 3.26, -17.444, 86.23, 4.462, 3.739, 130.954, 584.317
2018-06-14_16:01, 24.9375, 446, 7, 3.26, -17.885, 73.33, 4.516, 3.719, 120.643, 544.824
2018-06-14_16:03, 24.875, 434, 5, 3.26, -13.38, 82.2, 4.462, 3.729, 124.767, 556.71
2018-06-14_16:04, 25.1875, 432, 4, 3.26, -20.672, 73.33, 4.516, 3.715, 116.518, 526.195
2018-06-14_16:05, 24.75, 426, 3, 3.26, -15.244, 78.17, 4.624, 3.7, 87.647, 405.28
2018-06-14_16:07, 24.5625, 455, 8, 3.26, -24.537, 74.14, 4.731, 3.675, 81.46, 385.387
2018-06-14_16:08, 24.75, 439, 5, 3.26, -20.706, 62.05, 4.677, 3.71, 78.366, 366.518
2018-06-14_16:09, 25.125, 455, 8, 3.26, -26.788, 68.5, 4.731, 3.675, 69.086, 326.846
2018-06-14_16:11, 25.6875, 464, 9, 3.27, -3.338, 72.53, 4.677, 3.685, 83.522, 390.632
2018-06-14_16:12, 24.75, 428, 4, 3.26, -13.861, 70.11, 4.462, 3.705, 94.865, 423.288
2018-06-14_16:14, 25.375, 461, 9, 3.26, -15.098, 66.08, 4.946, 3.661, 49.495, 244.802
2018-06-14_16:15, 26.1875, 400, 0, 3.28, -9.727, 86.23, 4.301, 3.744, 170.137, 731.759
2018-06-14_16:17, 26.8125, 416, 2, 3.28, -1.734, 123.3, 4.57, 3.754, 164.982, 753.968
2018-06-14_16:18, 25.875, 466, 10, 3.26, -13.97, 77.36, 4.57, 3.69, 106.207, 485.366
2018-06-14_16:19, 26.5, 450, 7, 3.26, -16.642, 78.97, 4.731, 3.685, 93.833, 443.924
2018-06-14_16:21, 27.0625, 432, 4, 3.26, -14.301, 84.62, 4.624, 3.715, 127.861, 591.229
2018-06-14_16:22, 26.9375, 425, 3, 3.25, -14.814, 75.75, 4.57, 3.71, 124.767, 570.185
2018-06-14_16:23, 26.5, 426, 3, 3.26, -17.596, 83.0, 4.57, 3.705, 126.83, 579.613
2018-06-14_16:25, 26.5, 442, 6, 3.3, -1.576, 88.64, 4.731, 3.705, 117.55, 556.129
2018-06-14_16:26, 27.0625, 549, 22, 3.25, -7.419, 96.7, 4.462, 3.71, 119.612, 533.709
2018-06-14_16:27, 26.125, 450, 7, 3.25, -16.933, 80.59, 4.839, 3.7, 108.269, 523.914
2018-06-14_16:29, 26.5625, 476, 11, 3.26, -18.632, 73.33, 4.731, 3.666, 73.211, 346.361
2018-06-14_16:31, 26.375, 444, 6, 3.23, -17.882, 74.95, 4.731, 3.617, 74.242, 351.239
2018-06-14_16:32, 25.875, 421, 3, 3.2, -15.65, 71.72, 4.677, 3.675, 83.522, 390.632
2018-06-14_16:33, 25.25, 473, 11, 3.2, -17.91, 78.97, 4.731, 3.7, 90.74, 429.291
2018-06-14_16:35, 25.5, 462, 9, 3.24, -2.278, 88.64, 4.57, 3.69, 107.238, 490.078
2018-06-14_16:36, 24.8125, 483, 12, 3.25, -18.405, 82.2, 4.462, 3.675, 97.958, 437.089
2018-06-14_16:37, 24.6875, 483, 12, 3.25, -19.326, 81.39, 4.731, 3.675, 95.896, 453.684
2018-06-14_16:39, 24.75, 486, 13, 3.26, -17.338, 87.03, 4.785, 3.656, 87.647, 419.391
2018-06-14_16:40, 24.625, 537, 20, 3.27, -17.22, 81.39, 4.677, 3.661, 85.584, 400.276
2018-06-14_16:41, 24.5625, 546, 22, 3.22, -16.005, 76.56, 4.355, 3.675, 81.46, 354.758
2018-06-14_16:43, 24.625, 501, 15, 3.26, -18.408, 79.78, 4.731, 3.661, 86.615, 409.776
2018-06-14_16:45, 25.0625, 519, 18, 3.25, -18.049, 74.14, 4.731, 3.656, 82.491, 390.265
2018-06-14_16:46, 25.125, 502, 15, 3.26, -22.339, 76.56, 4.731, 3.646, 73.211, 346.361
2018-06-14_16:47, 24.1875, 500, 15, 3.26, -13.554, 76.56, 4.731, 3.646, 80.429, 380.51
2018-06-14_16:49, 24.75, 491, 13, 3.26, -16.541, 73.33, 4.677, 3.646, 81.46, 380.988
2018-06-14_16:50, 24.375, 564, 24, 3.26, -14.569, 74.14, 4.462, 3.651, 82.491, 368.075
2018-06-14_16:51, 25.75, 1009, 92, 3.26, -18.119, 58.83, 2.312, 3.631, 16.498, 38.143
2018-06-14_16:53, 26.375, 1231, 126, 3.26, -6.669, 65.27, 4.516, 3.612, 45.37, 204.891
2018-06-14_16:54, 26.9375, 1077, 103, 3.28, -14.076, 70.11, 4.624, 3.646, 73.211, 338.528
2018-06-14_16:55, 27.9375, 1113, 108, 3.27, -9.189, 87.03, 4.409, 3.671, 102.082, 450.08
2018-06-14_16:57, 29.3125, 902, 76, 3.26, 4.352, 238.53, 19.086, 4.022, 185.605, 3542.457
2018-06-14_16:58, 31.125, 907, 77, 3.3, 4.352, 249.82, 18.602, 3.983, 188.698, 3510.16
2018-06-14_17:00, 33.125, 930, 80, 3.26, 4.18, 249.01, 18.925, 4.022, 192.822, 3649.156
2018-06-14_17:01, 34.3125, 970, 86, 3.26, 3.906, 260.29, 18.172, 4.047, 188.698, 3429.02
2018-06-14_17:03, 34.875, 702, 46, 3.26, 4.293, 258.68, 18.71, 4.047, 197.978, 3704.168
2018-06-14_17:04, 35.6875, 717, 48, 3.27, -13.691, 104.76, 4.677, 3.695, 113.425, 530.489
2018-06-14_17:05, 35.375, 569, 25, 3.26, 4.352, 235.31, 18.656, 4.062, 200.04, 3731.946
2018-06-14_17:07, 35.0625, 575, 26, 3.27, 4.352, 234.51, 18.602, 4.042, 203.134, 3778.699
2018-06-15_15:28, 34.9375, 618, 33, 3.26, -21.492, 91.06, 4.839, 3.661, 65.993, 319.34
2018-06-15_15:30, 34.375, 780, 57, 3.26, -28.232, 78.17, 1.29, 3.636, 22.685, 29.264
2018-06-15_15:31, 33.6875, 1083, 104, 3.26, -22.961, 83.0, 3.817, 3.651, 18.56, 70.844
2018-06-15_15:32, 33.0625, 1341, 143, 3.27, -22.824, 91.06, 4.086, 3.631, 24.747, 101.116
2018-06-15_15:34, 32.625, 1608, 184, 3.26, -21.455, 101.54, 3.71, 3.646, 30.934, 114.765
2018-06-15_15:35, 32.0625, 1895, 227, 3.26, -22.742, 90.26, 3.602, 3.636, 24.747, 89.139
2018-06-15_15:37, 31.5625, 2162, 268, 3.26, -10.725, 98.32, 3.817, 3.661, 28.872, 110.204
2018-06-15_15:38, 31.375, 2466, 314, 3.26, -24.408, 97.51, 3.656, 3.636, 30.934, 113.095
2018-06-15_15:39, 31.0, 2666, 345, 3.26, -18.484, 91.06, 3.817, 3.631, 25.778, 98.395
2018-06-15_15:41, 30.6875, 2954, 389, 3.27, -24.662, 91.87, 3.656, 3.627, 30.934, 113.095
2018-06-15_15:42, 30.4375, 3194, 425, 3.26, -19.86, 86.23, 3.817, 3.651, 28.872, 110.204
2018-06-15_15:44, 30.1875, 3431, 461, 3.27, -24.362, 87.84, 4.086, 3.641, 26.81, 109.546
2018-06-15_15:45, 29.9375, 3780, 514, 3.27, -9.915, 107.99, 3.763, 3.622, 30.934, 116.405
2018-06-15_15:46, 29.8125, 3898, 532, 3.26, -23.457, 97.51, 3.602, 3.636, 26.81, 96.57
2018-06-15_15:48, 29.5625, 4186, 576, 3.26, -21.694, 99.12, 3.817, 3.622, 17.529, 66.908
2018-06-15_15:49, 28.9375, 3394, 456, 3.25, -25.098, 94.29, 3.817, 3.612, 25.778, 98.395
2018-06-15_15:51, 27.3125, 2388, 302, 3.26, -22.975, 95.09, 4.086, 3.627, 24.747, 101.116
2018-06-15_15:52, 27.0625, 2560, 329, 3.25, -34.735, 88.64, 3.871, 3.617, 26.81, 103.782
2018-06-15_15:53, 26.75, 2583, 332, 3.25, -22.252, 99.12, 3.817, 3.612, 19.592, 74.783
2018-06-14_16:21, 22.9375, 400, 0, 3.15, -21.901, 127.33, 3.71, 3.7, 19.592, 72.686
2018-06-14_16:24, 23.0, 400, 0, 3.28, -22.618, 132.16, 3.871, 3.69, 17.529, 67.855
2018-06-14_16:27, 23.125, 400, 0, 3.3, -23.493, 137.8, 3.656, 3.695, 19.592, 71.628
2018-06-14_16:30, 23.25, 400, 0, 3.23, -22.872, 137.8, 3.656, 3.695, 19.592, 71.628
2018-06-14_16:33, 23.1875, 409, 1, 3.04, -21.255, 149.08, 3.925, 3.715, 18.56, 72.848
2018-06-14_16:36, 23.25, 406, 0, 3.06, -22.78, 139.41, 3.71, 3.685, 15.467, 57.383
2018-06-14_16:38, 23.4375, 405, 0, 3.3, -23.025, 132.97, 3.656, 3.695, 22.685, 82.936
